ts,y_true,y_pred,pi_lo,pi_hi
2025-08-24 11:30:00+00:00,-7.45,-5.622508681635953,-32.29184604022085,32.08144603056357
2025-08-24 11:45:00+00:00,-7.45,-3.742377847505709,-30.411715206090605,33.96157686469382
2025-08-24 12:00:00+00:00,-7.4,-3.429744253753765,-30.09908161233866,34.27421045844576
2025-08-24 12:15:00+00:00,-7.4,-3.446148113519736,-30.115485472104634,34.25780659867979
2025-08-24 12:30:00+00:00,-7.4,-3.493933228572987,-30.163270587157886,34.21002148362654
2025-08-24 12:45:00+00:00,-7.4,-3.269171451202121,-29.938508809787017,34.434783260997406
2025-08-24 13:00:00+00:00,-0.1,-0.29112099820420995,-26.960458356789108,37.41283371399532
2025-08-24 13:15:00+00:00,-0.1,0.4998353862343274,-26.16950197235057,38.203790098433856
2025-08-24 13:30:00+00:00,-0.1,0.349437158501492,-26.319900200083406,38.05339187070102
2025-08-24 13:45:00+00:00,-0.1,0.3936128237929343,-26.275724534791962,38.09756753599246
2025-08-24 14:00:00+00:00,0.0,2.617147301535518,-24.05219005704938,40.32110201373504
2025-08-24 14:15:00+00:00,0.0,2.9374283386400575,-23.73190901994484,40.641383050839586
2025-08-24 14:30:00+00:00,0.0,2.9946060216336723,-23.674731336951226,40.6985607338332
2025-08-24 14:45:00+00:00,0.0,2.9743916014403053,-23.69494575714459,40.67834631363983
2025-08-24 15:00:00+00:00,65.46,64.61899056908115,37.94965321049625,102.32294528128068
2025-08-24 15:15:00+00:00,65.46,64.95387764871288,38.28454029012798,102.65783236091241
2025-08-24 15:30:00+00:00,65.46,64.99931666064641,38.32997930206152,102.70327137284593
2025-08-24 15:45:00+00:00,65.46,65.20177663109817,38.53243927251327,102.9057313432977
2025-08-24 16:00:00+00:00,100.87,99.8226878848009,73.153350526216,137.52664259700043
2025-08-24 16:15:00+00:00,100.87,100.16049854049734,73.49116118191245,137.86445325269688
2025-08-24 16:30:00+00:00,100.87,100.3807857178469,73.71144835926201,138.08474043004642
2025-08-24 16:45:00+00:00,100.87,100.41050796681635,73.74117060823146,138.11446267901587
2025-08-24 17:00:00+00:00,110.4,111.49101911302466,84.82168175443977,149.1949738252242
2025-08-24 17:15:00+00:00,110.4,111.5924886209663,84.9231512623814,149.29644333316583
2025-08-24 17:30:00+00:00,110.4,111.66849991906285,84.99916256047796,149.37245463126237
2025-08-24 17:45:00+00:00,110.4,111.60850176772102,84.93916440913613,149.31245647992054
2025-08-24 18:00:00+00:00,117.21,118.92442603220144,92.25508867361654,156.62838074440097
